GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,HOME_TEAM_WINS,HOME_ORTG,AWAY_ORTG,HOME_DRTG,AWAY_DRTG,HOME_SRS,AWAY_SRS,HOME_EFG,AWAY_EFG,HOME_TS,AWAY_TS,MOV
2021-11-01,22100099,New York Knicks,Toronto Raptors,2021,104,113,0,109.2,109.4,110.0,110.3,-0.9,-0.09,0.517,0.497,0.551,0.529,-9.0
2021-11-01,22100100,Memphis Grizzlies,Denver Nuggets,2021,106,97,1,111.4,108.8,111.9,108.6,-0.23,0.97,0.518,0.536,0.547,0.56,9.0
2021-11-01,22100101,Minnesota Timberwolves,Orlando Magic,2021,97,115,0,107.6,101.4,106.7,111.4,0.49,-9.08,0.503,0.489,0.536,0.521,-18.0
2021-11-01,22100102,Los Angeles Clippers,Oklahoma City Thunder,2021,99,94,1,106.3,99.6,105.4,109.8,0.5,-9.83,0.52,0.472,0.553,0.505,5.0
2021-10-31,22100089,Dallas Mavericks,Sacramento Kings,2021,105,99,1,107.7,108.3,109.4,111.3,-1.62,-2.53,0.516,0.513,0.543,0.548,6.0
2021-10-31,22100090,Charlotte Hornets,Portland Trail Blazers,2021,125,113,1,112.0,111.7,112.5,114.0,0.17,-1.28,0.533,0.53,0.561,0.563,12.0
2021-10-31,22100091,Milwaukee Bucks,Utah Jazz,2021,95,107,0,110.7,116.5,106.6,106.8,3.06,8.04,0.533,0.567,0.562,0.6,-12.0
2021-10-31,22100092,Brooklyn Nets,Detroit Pistons,2021,117,91,1,110.2,100.5,106.5,110.3,3.44,-8.55,0.536,0.47,0.574,0.512,26.0
2021-10-31,22100093,Los Angeles Lakers,Houston Rockets,2021,95,85,1,107.1,101.9,108.8,109.2,-2.84,-8.62,0.528,0.512,0.557,0.542,10.0
2021-10-30,22100078,Washington Wizards,Boston Celtics,2021,115,112,1,108.0,109.6,108.2,107.2,-0.24,1.9,0.521,0.512,0.556,0.553,3.0
2021-10-30,22100079,Detroit Pistons,Orlando Magic,2021,110,103,1,100.5,101.4,110.3,111.4,-8.55,-9.08,0.47,0.489,0.512,0.521,7.0
2021-10-30,22100080,New Orleans Pelicans,New York Knicks,2021,117,123,0,106.0,109.2,112.8,110.0,-5.4,-0.9,0.491,0.517,0.53,0.551,-6.0
2021-10-30,22100081,Indiana Pacers,Toronto Raptors,2021,94,97,0,108.7,109.4,108.0,110.3,1.05,-0.09,0.522,0.497,0.551,0.529,-3.0
2021-10-30,22100082,Philadelphia 76ers,Atlanta Hawks,2021,122,94,1,110.1,113.2,109.0,110.7,0.81,2.98,0.522,0.531,0.559,0.564,28.0
2021-10-30,22100083,Chicago Bulls,Utah Jazz,2021,107,99,1,111.1,116.5,106.6,106.8,3.88,8.04,0.533,0.567,0.571,0.6,8.0
2021-10-30,22100084,Memphis Grizzlies,Miami Heat,2021,103,129,0,111.4,111.4,111.9,108.0,-0.23,3.29,0.518,0.53,0.547,0.567,-26.0
2021-10-30,22100085,Milwaukee Bucks,San Antonio Spurs,2021,93,102,0,110.7,107.1,106.6,107.1,3.06,-0.48,0.533,0.522,0.562,0.542,-9.0
2021-10-30,22100086,Golden State Warriors,Oklahoma City Thunder,2021,103,82,1,113.2,99.6,100.9,109.8,11.35,-9.83,0.562,0.472,0.59,0.505,21.0
2021-10-30,22100087,Minnesota Timberwolves,Denver Nuggets,2021,91,93,0,107.6,108.8,106.7,108.6,0.49,0.97,0.503,0.536,0.536,0.56,-2.0
2021-10-30,22100088,Phoenix Suns,Cleveland Cavaliers,2021,101,92,1,111.2,107.8,104.7,105.0,6.13,3.45,0.544,0.523,0.576,0.557,9.0
2021-10-29,22100071,Toronto Raptors,Orlando Magic,2021,110,109,1,109.4,101.4,110.3,111.4,-0.09,-9.08,0.497,0.489,0.529,0.521,1.0
2021-10-29,22100072,Brooklyn Nets,Indiana Pacers,2021,105,98,1,110.2,108.7,106.5,108.0,3.44,1.05,0.536,0.522,0.574,0.551,7.0
2021-10-29,22100073,Miami Heat,Charlotte Hornets,2021,114,99,1,111.4,112.0,108.0,112.5,3.29,0.17,0.53,0.533,0.567,0.561,15.0
2021-10-29,22100074,New Orleans Pelicans,Sacramento Kings,2021,109,113,0,106.0,108.3,112.8,111.3,-5.4,-2.53,0.491,0.513,0.53,0.548,-4.0
2021-10-29,22100075,Denver Nuggets,Dallas Mavericks,2021,106,75,1,108.8,107.7,108.6,109.4,0.97,-1.62,0.536,0.516,0.56,0.543,31.0
2021-10-29,22100076,Portland Trail Blazers,Los Angeles Clippers,2021,111,92,1,111.7,106.3,114.0,105.4,-1.28,0.5,0.53,0.52,0.563,0.553,19.0
